Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/energy-efficiency/zero-net-energy-bldgs/,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Pathways to Zero Net Energy Program,"The Pathways to Zero Net Energy Program is a $3.5 million DOER initiative designed to facilitate a transition to the next generation of high-performance buildings. $3 million is being used to fund feasibility, integrated design, and construction of zero-net energy buildings in Massachusetts.","Renewable energy data, facility data, product data, customer data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,Basic Human Needs,Shelter,Indoor air pollution attributable deaths,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/energy-storage-initiative/,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Energy Storage Initiative (ESI),Energy Storage Initiative aims to make Massachusetts a national leader in the deployment and effective use of these innovative energy technology solutions.,"Energy solution data, customer data, spending data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/resiliency/resiliency-initiative.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Community Clean Energy Resiliency Initiative,"This $40 million initiative was part of the CommonwealthÍs broader climate adaptation and mitigation efforts. It is a grant program focused on municipal resilience that uses clean energy technology solutions to protect communities from interruptions in energy services due to severe climate events made worse by the effects of climate change.
","Grant data, climate change data, environmental data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Basic Human Needs,Shelter,Access to electricity,Opportunity,Personal Freedom and Choice,Freedom over life choices,Basic Human Needs,Shelter,Quality of electricity supply,,,,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/solar/rps-solar-carve-out/,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Solar Carve-Out Program,"The RPS Solar Carve-Out is a market-based incentive to support residential, commercial, public, and non-profit entities in developing 400 MW of solar photovoltaic (PV) across the Commonwealth. Read about eligibility criteria and the process for generating Solar Renewable Energy Certifications (SRECs).","Solar data, spending data, customer data, performance data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Basic Human Needs,Shelter,Quality of electricity supply,Basic Human Needs,Shelter,Access to electricity,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,"Could partner these programs with solar, or product companiesƒ Home Depot, and Home builders/developers too.",,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/solar/residential-solar-loan-program.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",MA Solar Loan Program,"DOER seeks to enable cash-flow positive loans to homeowners and businesses, and to provide sufficient risk mitigation to enhance lenders comfort in offering loans to homeowners over a wider range of wealth and credit qualifications.","Loan data, solar data, spending data, customer data, performance data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Basic Human Needs,Shelter,Quality of electricity supply,Basic Human Needs,Shelter,Access to electricity,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,"Could partner these programs with solar, or product companiesƒ Home Depot, and Home builders/developers too.",,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/biomass/mass-outdoor-hydronic-heater-change-out-program.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Mass Outdoor Hydronic Heater Change-out Program,"The Commonwealth seeks to prioritize existing commercial, residential and agricultural outdoor hydronic heaters (OHH), also known as outdoor wood boilers, which require replacement and provide replacement funding based on, but not limited to, the specific criteria.","Funding data, heater data, spending data, customer data, performance data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/biomass/ma-sustainable-forest-bioenergy-initiative.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",MA Sustainable Forest Bioenergy Initiative,"The Department of Energy Resources (DOER), in partnership with the Department of Conservation and Recreation (DCR), has identified biomass as a renewable energy resource with tremendous potential in Massachusetts due to the state's 3,000,000 acres of underutilized forestland and other large sources of wood. ","Renewable energy data, forest/tree data, landowner data,",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,,,,,,,,,,42.36047,-71.06209
MassCEC,http://www.masscec.com/get-clean-energy/business/commonwealth-wind,,,,,,MassCEC Commonwealth Wind (CommWind) Program,"Grant funding and technical assistance is available for residential, commercial, industrial and public facilities, and is based on the size and other characteristics of the wind project. ",Grant data,Open,Public,Public,State,Massachusetts,,,,,,,,,,,,,,,,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,,,,,,,,,,,,,,,42.35531,-71.05862
Department of Energy Resources,http://www.mass.gov/eea/grants-and-tech-assistance/guidance-technical-assistance/agencies-and-divisions/doer/regional-greenhous-gas-initiative.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Regional Greenhouse Gas Initiative,RGGI is the first market-based regulatory program in the United States to reduce greenhouse gas emissions that contribute to global climate change. ,Emissions data,Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,,,,,,,,,,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/agencies/dcr/services-and-assistance/street-sweeping/,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",DCR Street Sweeping,DCRÍs annual program of monthly street-sweeping along selected roadways in the Boston area to clean those roadways and improve the quality of storm water runoff.,"Process data, performance data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,,,,,,,,,,,,,,,,,,42.36047,-71.06209
Department of Conservation and Recreation,http://www.mass.gov/eea/agencies/dcr/conservation/ecology-acec/ecology-program.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Ecology Program,"The Ecology Program focuses on the identification, conservation, and stewardship of ecological resources on DCR properties.",Conservation and stewardship data,Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,,,,,,,,,,,,,42.36638,-71.05896
